Provinces\Years,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Adana,2 006 650,2 026 319,2 062 226,2 085 225,2 108 805,2 125 635,2 149 260,2 165 595,2 183 167,2 201 670
Adıyaman, 582 762, 585 067, 588 475, 590 935, 593 931, 595 261, 597 184, 597 835, 602 774, 610 484
Afyonkarahisar, 701 572, 697 365, 701 326, 697 559, 698 626, 703 948, 707 123, 706 371, 709 015, 714 523
Ağrı, 530 879, 532 180, 537 665, 542 022, 555 479, 552 404, 551 177, 549 435, 547 210, 542 255
Amasya, 328 674, 323 675, 324 268, 334 786, 323 079, 322 283, 321 977, 321 913, 322 167, 326 351
Ankara,4 466 756,4 548 939,4 650 802,4 771 716,4 890 893,4 965 542,5 045 083,5 150 072,5 270 575,5 346 518
Antalya,1 789 295,1 859 275,1 919 729,1 978 333,2 043 482,2 092 537,2 158 265,2 222 562,2 288 456,2 328 555
Artvin, 168 092, 166 584, 165 580, 164 759, 166 394, 167 082, 169 334, 169 674, 168 370, 168 068
Aydın, 946 971, 965 500, 979 155, 989 862, 999 163,1 006 541,1 020 957,1 041 979,1 053 506,1 068 260
Balıkesir,1 118 313,1 130 276,1 140 085,1 152 323,1 154 314,1 160 731,1 162 761,1 189 057,1 186 688,1 196 176
Bilecik, 203 777, 193 169, 202 061, 225 381, 203 849, 204 116, 208 888, 209 925, 212 361, 218 297
Bingöl, 251 552, 256 091, 255 745, 255 170, 262 263, 262 507, 265 514, 266 019, 267 184, 269 560
Bitlis, 327 886, 326 897, 328 489, 328 767, 336 624, 337 253, 337 156, 338 023, 340 449, 341 225
Bolu, 270 417, 268 882, 271 545, 271 208, 276 506, 281 080, 283 496, 284 789, 291 095, 299 896
Burdur, 251 181, 247 437, 251 550, 258 868, 250 527, 254 341, 257 267, 256 898, 258 339, 261 401
Bursa,2 439 876,2 507 963,2 550 645,2 605 495,2 652 126,2 688 171,2 740 970,2 787 539,2 842 547,2 901 396
Çanakkale, 476 128, 474 791, 477 735, 490 397, 486 445, 493 691, 502 328, 511 790, 513 341, 519 793
Çankırı, 174 012, 176 093, 185 019, 179 067, 177 211, 184 406, 190 909, 183 550, 180 945, 183 880
Çorum, 549 828, 545 444, 540 704, 535 405, 534 578, 529 975, 532 080, 527 220, 525 180, 527 863
Denizli, 907 325, 917 836, 926 362, 931 823, 942 278, 950 557, 963 464, 978 700, 993 442,1 005 687
Diyarbakır,1 460 714,1 492 828,1 515 011,1 528 958,1 570 943,1 592 167,1 607 437,1 635 048,1 654 196,1 673 119
Edirne, 396 462, 394 644, 395 463, 390 428, 399 316, 399 708, 398 582, 400 280, 402 537, 401 701
Elazığ, 541 258, 547 562, 550 667, 552 646, 558 556, 562 703, 568 239, 568 753, 574 304, 578 789
Erzincan, 213 538, 210 645, 213 288, 224 949, 215 277, 217 886, 219 996, 223 633, 222 918, 226 032
Erzurum, 784 941, 774 967, 774 207, 769 085, 780 847, 778 195, 766 729, 763 320, 762 321, 762 021
Eskişehir, 724 849, 741 739, 755 427, 764 584, 781 247, 789 750, 799 724, 812 320, 826 716, 844 842
Gaziantep,1 560 023,1 612 223,1 653 670,1 700 763,1 753 596,1 799 558,1 844 438,1 889 466,1 931 836,1 974 244
Giresun, 417 505, 421 766, 421 860, 419 256, 419 498, 419 555, 425 007, 429 984, 426 686, 444 467
Gümüşhane, 130 825, 131 367, 130 976, 129 618, 132 374, 135 216, 141 412, 146 353, 151 449, 172 034
Hakkari, 246 469, 258 590, 256 761, 251 302, 272 165, 279 982, 273 041, 276 287, 278 775, 267 813
Hatay,1 386 224,1 413 287,1 448 418,1 480 571,1 474 223,1 483 674,1 503 066,1 519 836,1 533 507,1 555 165
Isparta, 419 845, 407 463, 420 796, 448 298, 411 245, 416 663, 417 774, 418 780, 421 766, 427 324
Mersin,1 595 938,1 602 908,1 640 888,1 647 899,1 667 939,1 682 848,1 705 774,1 727 255,1 745 221,1 773 852
İstanbul,12 573 836,12 697 164,12 915 158,13 255 685,13 624 240,13 854 740,14 160 467,14 377 018,14 657 434,14 804 116
İzmir,3 739 353,3 795 978,3 868 308,3 948 848,3 965 232,4 005 459,4 061 074,4 113 072,4 168 415,4 223 545
Kars, 312 205, 312 128, 306 536, 301 766, 305 755, 304 821, 300 874, 296 466, 292 660, 289 786
Kastamonu, 360 366, 360 424, 359 823, 361 222, 359 759, 359 808, 368 093, 368 907, 372 633, 376 945
Kayseri,1 165 088,1 184 386,1 205 872,1 234 651,1 255 349,1 274 968,1 295 355,1 322 376,1 341 056,1 358 980
Kırklareli, 333 256, 336 942, 333 179, 332 791, 340 199, 341 218, 340 559, 343 723, 346 973, 351 684
Kırşehir, 223 170, 222 735, 223 102, 221 876, 221 015, 221 209, 223 498, 222 707, 225 562, 229 975
Kocaeli,1 437 926,1 490 358,1 522 408,1 560 138,1 601 720,1 634 691,1 676 202,1 722 795,1 780 055,1 830 772
Konya,1 959 082,1 969 868,1 992 675,2 013 845,2 038 555,2 052 281,2 079 225,2 108 808,2 130 544,2 161 303
Kütahya, 583 910, 565 884, 571 804, 590 496, 564 264, 573 421, 572 059, 571 554, 571 463, 573 642
Malatya, 722 065, 733 789, 736 884, 740 643, 757 930, 762 366, 762 538, 769 544, 772 904, 781 305
Manisa,1 319 920,1 316 750,1 331 957,1 379 484,1 340 074,1 346 162,1 359 463,1 367 905,1 380 366,1 396 945
Kahramanmaraş,1 004 414,1 029 298,1 037 491,1 044 816,1 054 210,1 063 174,1 075 706,1 089 038,1 096 610,1 112 634
Mardin, 745 778, 750 697, 737 852, 744 606, 764 033, 773 026, 779 738, 788 996, 796 591, 796 237
Muğla, 766 156, 791 424, 802 381, 817 503, 838 324, 851 145, 866 665, 894 509, 908 877, 923 773
Muş, 405 509, 404 309, 404 484, 406 886, 414 706, 413 260, 412 553, 411 216, 408 728, 406 501
Nevşehir, 280 058, 281 699, 284 025, 282 337, 283 247, 285 190, 285 460, 286 250, 286 767, 290 895
Niğde, 331 677, 338 447, 339 921, 337 931, 337 553, 340 270, 343 658, 343 898, 346 114, 351 468
Ordu, 715 409, 719 278, 723 507, 719 183, 714 390, 741 371, 731 452, 724 268, 728 949, 750 588
Rize, 316 252, 319 410, 319 569, 319 637, 323 012, 324 152, 328 205, 329 779, 328 979, 331 048
Sakarya, 835 222, 851 292, 861 570, 872 872, 888 556, 902 267, 917 373, 932 706, 953 181, 976 948
Samsun,1 228 959,1 233 677,1 250 076,1 252 693,1 251 729,1 251 722,1 261 810,1 269 989,1 279 884,1 295 927
Siirt, 291 528, 299 819, 303 622, 300 695, 310 468, 310 879, 314 153, 318 366, 320 351, 322 664
Sinop, 198 412, 200 791, 201 134, 202 740, 203 027, 201 311, 204 568, 204 526, 204 133, 205 478
Sivas, 638 464, 631 112, 633 347, 642 224, 627 056, 623 535, 623 824, 623 116, 618 617, 621 224
Tekirdağ, 728 396, 770 772, 783 310, 798 109, 829 873, 852 321, 874 475, 906 732, 937 910, 972 875
Tokat, 620 722, 617 158, 624 439, 617 802, 608 299, 613 990, 598 708, 597 920, 593 990, 602 662
Trabzon, 740 569, 748 982, 765 127, 763 714, 757 353, 757 898, 758 237, 766 782, 768 417, 779 379
Tunceli, 84 022, 86 449, 83 061, 76 699, 85 062, 86 276, 85 428, 86 527, 86 076, 82 193
Şanlıurfa,1 523 099,1 574 224,1 613 737,1 663 371,1 716 254,1 762 075,1 801 980,1 845 667,1 892 320,1 940 627
Uşak, 334 115, 334 111, 335 860, 338 019, 339 731, 342 269, 346 508, 349 459, 353 048, 358 736
Van, 979 671,1 004 369,1 022 310,1 035 418,1 022 532,1 051 975,1 070 113,1 085 542,1 096 397,1 100 190
Yozgat, 492 127, 484 206, 487 365, 476 096, 465 696, 453 211, 444 211, 432 560, 419 440, 421 041
Zonguldak, 615 890, 619 151, 619 812, 619 703, 612 406, 606 527, 601 567, 598 796, 595 907, 597 524
Aksaray, 366 109, 370 598, 376 907, 377 505, 378 823, 379 915, 382 806, 384 252, 386 514, 396 673
Bayburt, 76 609, 75 675, 74 710, 74 412, 76 724, 75 797, 75 620, 80 607, 78 550, 90 154
Karaman, 226 049, 230 145, 231 872, 232 633, 234 005, 235 424, 237 939, 240 362, 242 196, 245 610
Kırıkkale, 280 234, 279 325, 280 834, 276 647, 274 992, 274 727, 274 658, 271 092, 270 271, 277 984
Batman, 472 487, 485 616, 497 998, 510 200, 524 499, 534 205, 547 581, 557 593, 566 633, 576 899
Şırnak, 416 001, 429 287, 430 424, 430 109, 457 997, 466 982, 475 255, 488 966, 490 184, 483 788
Bartın, 182 131, 185 368, 188 449, 187 758, 187 291, 188 436, 189 139, 189 405, 190 708, 192 389
Ardahan, 112 721, 112 242, 108 169, 105 454, 107 455, 106 643, 102 782, 100 809, 99 265, 98 335
Iğdır, 181 866, 184 025, 183 486, 184 418, 188 857, 190 409, 190 424, 192 056, 192 435, 192 785
Yalova, 181 758, 197 412, 202 531, 203 741, 206 535, 211 799, 220 122, 226 514, 233 009, 241 665
Karabük, 218 463, 216 248, 218 564, 227 610, 219 728, 225 145, 230 251, 231 333, 236 978, 242 347
Kilis, 118 457, 120 991, 122 104, 123 135, 124 452, 124 320, 128 586, 128 781, 130 655, 130 825
Osmaniye, 452 880, 464 704, 471 804, 479 221, 485 357, 492 135, 498 981, 506 807, 512 873, 522 175
Düzce, 323 328, 328 611, 335 156, 338 188, 342 146, 346 493, 351 509, 355 549, 360 388, 370 371
